  PID TTY      STAT   TIME COMMAND
 2039 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 2040 ?        Sl     0:06 /usr/lib/ibus/ibus-ui-gtk3
 2043 ?        Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 2044 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 2163 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 2168 ?        Sl     0:00 /usr/lib/i386-linux-gnu/indicator-keyboard-service --use-gtk
 2171 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-messages/indicator-messages-service
 2173 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
 2174 ?        S      0:04 syndaemon -i 1.0 -t -K -R
 2178 ?        Ssl    0:01 /usr/lib/i386-linux-gnu/indicator-power/indicator-power-service
 2180 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-datetime/indicator-datetime-service
 2182 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-sound/indicator-sound-service
 2187 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-printers/indicator-printers-service
 2192 ?        Sl     0:08 /usr/lib/ibus/ibus-engine-simple
 2194 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-session/indicator-session-service
 2212 ?        Ssl    0:00 /usr/lib/i386-linux-gnu/indicator-application/indicator-application-service
 2219 ?        S<l    0:00 /usr/bin/pulseaudio --start --log-target=syslog
 2234 ?        Sl     0:00 /usr/lib/evolution/evolution-source-registry
 2275 ?        S      0:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
 2285 ?        S      0:00 /usr/lib/pulseaudio/pulse/gconf-helper
 2299 ?        Ss     0:00 /usr/sbin/cupsd -f
 2312 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 2317 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory
 2330 ?        Rl     1:29 compiz
 2332 ?        Sl     0:03 /usr/lib/i386-linux-gnu/notify-osd
 2342 ?        Sl     0:01 /usr/lib/telepathy/mission-control-5
 2350 ?        Sl     0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
 2351 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 2360 ?        Sl     0:10 nautilus -n
 2363 ?        Sl     0:06 nm-applet
 2367 ?        Sl     0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 2379 ?        Sl     0:02 /usr/lib/udisks2/udisksd --no-debug
 2391 ?        Sl     0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 2396 ?        Sl     0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 2400 ?        Sl     0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 2409 ?        S      0:00 /usr/bin/xbindkeys -f /home/francesco/.xbindkeysrc
